name,provider,institution,level,description,eligibility,essay_prompt,deadline,link,logo_url,source_url
NNPC/OANDO JV Tertiary Scholarship Scheme 2026/2027 for young Nigerian Undergraduate students. – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/nnpc-oando-jv-tertiary-scholarship-scheme-2026-2027,,https://www.opportunitiesforafricans.com/nnpc-oando-jv-tertiary-scholarship-scheme-2026-2027
"Romanian Government (Undergraduate, Masters & PhD) Scholarships 2026/2027 for study in Romania (Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/romanian-government-undergraduate-masters-phd-scholarships-2026-2027,,https://www.opportunitiesforafricans.com/romanian-government-undergraduate-masters-phd-scholarships-2026-2027
Ellison Scholars Undergraduate Programme 2026 for study at the University of Oxford (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/ellison-scholars-undergraduate-programme-2026-for-study-at-the-university-of-oxford,,https://www.opportunitiesforafricans.com/ellison-scholars-undergraduate-programme-2026-for-study-at-the-university-of-oxford
"Romanian Government (Undergraduate, Masters & PhD) Scholarships 2025/2026 for study in Romania (Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/romanian-government-undergraduate-masters-amp-phd-scholarships-2025-2026,,https://www.opportunitiesforafricans.com/romanian-government-undergraduate-masters-amp-phd-scholarships-2025-2026
"Heinrich Boll Foundation Scholarships 2025/2026 for Undergraduate, Graduate & PhD Study in Germany – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/heinrich-boll-foundation-scholarships-2025-2026-for-undergraduate-graduate-phd-study-in-germany,,https://www.opportunitiesforafricans.com/heinrich-boll-foundation-scholarships-2025-2026-for-undergraduate-graduate-phd-study-in-germany
"Holland (NL) Scholarships 2024/2025 for Bachelor’s or Masters Study in the Netherlands (5,000 Euros) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/holland-nl-scholarships-2024-2025,,https://www.opportunitiesforafricans.com/holland-nl-scholarships-2024-2025
Makerere University MasterCard Foundation Scholars Program 2024/2025 for Study in Uganda (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/makerere-university-mastercard-foundation-scholars-program-2024-2025,,https://www.opportunitiesforafricans.com/makerere-university-mastercard-foundation-scholars-program-2024-2025
The Standard Bank Group Bursary Programme 2024 for Undergraduate & Postgraduate study. – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/the-standard-bank-group-bursary-programme-2024-for-undergraduate-postgraduate-study,,https://www.opportunitiesforafricans.com/the-standard-bank-group-bursary-programme-2024-for-undergraduate-postgraduate-study
Japanese Government (Monbukagakusho) MEXT Scholarships 2025 for undergraduate and research study in Japan (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/japanese-government-monbukagakusho-mext-scholarships-2025-for-undergraduate-and-research,,https://www.opportunitiesforafricans.com/japanese-government-monbukagakusho-mext-scholarships-2025-for-undergraduate-and-research
"Türkiye Scholarships 2024 for Undergraduate, Masters & Ph.D. Studies in Turkey (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2024-for-undergraduate-masters-ph-d-studies-in-turkey,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2024-for-undergraduate-masters-ph-d-studies-in-turkey
"Edinburgh Global Undergraduate Mathematics Scholarships 2024/2025 (£5,000 per year) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2024-2025,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2024-2025
Canon Collins Trust 2023 Joel Joffe LLB scholarships at the University of Fort Hare and the University of the Western Cape – South Africa – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/canon-collins-trust-2023-joel-joffe-llb-scholarships-at-the-university-of-fort-hare-and-the-university-of-the-western-cape-south-africa,,https://www.opportunitiesforafricans.com/canon-collins-trust-2023-joel-joffe-llb-scholarships-at-the-university-of-fort-hare-and-the-university-of-the-western-cape-south-africa
Canon Collins Trust 2024 Leigh Day LLB scholarship at the University of Fort Hare and the University of the Western Cape – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/canon-collins-trust-2024-leigh-day-llb-scholarship-at-the-university-of-fort-hare-and-the-university-of-the-western-cape,,https://www.opportunitiesforafricans.com/canon-collins-trust-2024-leigh-day-llb-scholarship-at-the-university-of-fort-hare-and-the-university-of-the-western-cape
University of Cape Town MasterCard Foundation Scholars Program 2024 for study in South Africa (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/university-of-cape-town-mastercard-foundation-scholars-program-2024,,https://www.opportunitiesforafricans.com/university-of-cape-town-mastercard-foundation-scholars-program-2024
CSIR Undergraduate/Postgraduate Bursary Programme 2024 for South Africans – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/csir-undergraduate-postgraduate-bursary-programme-2024,,https://www.opportunitiesforafricans.com/csir-undergraduate-postgraduate-bursary-programme-2024
DAAD In-Country/In-Region Masters/PhD Scholarship Programme 2023/2024 for Sub-Saharan African students. – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/daad-in-country-in-region-masters-phd-scholarship-programme-2023-2024-for-sub-saharan-african-citizens,,https://www.opportunitiesforafricans.com/daad-in-country-in-region-masters-phd-scholarship-programme-2023-2024-for-sub-saharan-african-citizens
"Italian Government Scholarships 2023/2024 for Bachelors, Masters & Ph.D.study in Italy ( 900 Euros per month) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/italian-government-scholarships-2023-2024,,https://www.opportunitiesforafricans.com/italian-government-scholarships-2023-2024
Japanese Government (Monbukagakusho) MEXT Scholarships 2023/2024 for undergraduate and research study in Japan (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/japanese-government-monbukagakusho-mext-scholarships-2023-2024-for-undergraduate-and-research-study-in-japan,,https://www.opportunitiesforafricans.com/japanese-government-monbukagakusho-mext-scholarships-2023-2024-for-undergraduate-and-research-study-in-japan
Guinness Nigeria Undergraduate Scholarship Scheme 2023 for young Nigerians. – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/guinness-nigeria-undergraduate-scholarship-scheme-2023,,https://www.opportunitiesforafricans.com/guinness-nigeria-undergraduate-scholarship-scheme-2023
"Türkiye Scholarships 2023 for Undergraduate, Masters & Ph.D. Studies in Turkey (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2023,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2023
"TaiwanICDF’s International Higher Education (Undergraduate, Masters and PhD) Scholarship Program 2023/2024 for study in Taiwan (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/taiwanicdfs-international-higher-education-undergraduate-masters-and-phd-scholarship-program-2023-2024,,https://www.opportunitiesforafricans.com/taiwanicdfs-international-higher-education-undergraduate-masters-and-phd-scholarship-program-2023-2024
Thomas Jefferson Tunisia Undergraduate Scholarship Program (UGRAD) 2023/2024 for young Tunisians to study in USA (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/thomas-jefferson-tunisia-undergraduate-scholarship-program-ugrad-2023-2024,,https://www.opportunitiesforafricans.com/thomas-jefferson-tunisia-undergraduate-scholarship-program-ugrad-2023-2024
Sciences Po Emile-Boutmy (Undergraduate & Postgraduate) Scholarships 2023/2024 for Study in France (Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/sciences-po-emile-boutmy-undergraduate-postgraduate-scholarships-2023-2024,,https://www.opportunitiesforafricans.com/sciences-po-emile-boutmy-undergraduate-postgraduate-scholarships-2023-2024
NNPC/SEPLAT Joint Venture 2022/2023 National Undergraduate Scholarship Programme for young Nigerians – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/nnpc-seplat-joint-venture-2022-2023-national-undergraduate-scholarship-programme,,https://www.opportunitiesforafricans.com/nnpc-seplat-joint-venture-2022-2023-national-undergraduate-scholarship-programme
Vodacom Bursary Programme 2023 for Young South African students (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/vodacom-bursary-programme-2023,,https://www.opportunitiesforafricans.com/vodacom-bursary-programme-2023
"Heinrich Boll Foundation Scholarships 2023/2024 for Undergraduate, Graduate & PhD Study in Germany – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/heinrich-boll-foundation-scholarships-2023-2024,,https://www.opportunitiesforafricans.com/heinrich-boll-foundation-scholarships-2023-2024
US Embassy EducationUSA Opportunity Funds Program (OFP) 2022 for young Nigerians (Full Funded to study in the U.S.) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/us-embassy-educationusa-opportunity-funds-program-ofp-2022,,https://www.opportunitiesforafricans.com/us-embassy-educationusa-opportunity-funds-program-ofp-2022
Standard Bank Group Bursary Fund 2022/2023 for undergraduate & graduate studies in South Africa – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/standard-bank-group-bursary-fund-2022-2023,,https://www.opportunitiesforafricans.com/standard-bank-group-bursary-fund-2022-2023
"Türkiye Scholarships 2022 for Undergraduate, Masters & Ph.D. Studies in Turkey (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2022,,https://www.opportunitiesforafricans.com/turkiye-scholarships-2022
The Government of Mauritius Africa Scholarships Scheme 2022 for study in Mauritius (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/the-government-of-mauritius-africa-scholarships-scheme-2022,,https://www.opportunitiesforafricans.com/the-government-of-mauritius-africa-scholarships-scheme-2022
"TaiwanICDF’s International Higher Education (Undergraduate, Masters and PhD) Scholarship Program 2022/2023 for study in Taiwan (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/taiwanicdfs-international-higher-education-undergraduate-masters-and-phd-scholarship-program-2022-2023,,https://www.opportunitiesforafricans.com/taiwanicdfs-international-higher-education-undergraduate-masters-and-phd-scholarship-program-2022-2023
"Romanian Government (Undergraduate, Masters & PhD) Scholarships 2022/2023 for study in Romania (Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/romanian-government-scholarships-2022-2023-for-study-in-romania-funded,,https://www.opportunitiesforafricans.com/romanian-government-scholarships-2022-2023-for-study-in-romania-funded
Bilateral Education Agreement (BEA) Scholarship Awards 2022/2023 for Nigerians to Study Abroad (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/bilateral-education-agreement-bea-scholarship-awards-2022-2023,,https://www.opportunitiesforafricans.com/bilateral-education-agreement-bea-scholarship-awards-2022-2023
"Government of Ireland International Education Scholarships Programme (GOI-IES) 2022 for study in Ireland (Bachelor, Masters, and Ph.D.) – €10,000 stipend – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/government-of-ireland-international-education-scholarships-programme-goi-ies-2022-2023,,https://www.opportunitiesforafricans.com/government-of-ireland-international-education-scholarships-programme-goi-ies-2022-2023
"Edinburgh Global Undergraduate Mathematics Scholarships 2022/2023 (£5,000 per year) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2022-2023,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2022-2023
Thomas Jefferson Tunisia Undergraduate Scholarship Program (UGRAD) 2022/2023 for young Tunisians to study in USA (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/thomas-jefferson-tunisia-undergraduate-scholarship-program-ugrad-2022-2023,,https://www.opportunitiesforafricans.com/thomas-jefferson-tunisia-undergraduate-scholarship-program-ugrad-2022-2023
U.S.-Middle East Partnership Initiative (MEPI) Tomorrow’s Leaders Undergraduate Scholarship Program 2022 for North Africans (Fully Funded to study in the United States) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/us-mepi-tomorrows-leaders-undergraduate-scholarship-program-2022,,https://www.opportunitiesforafricans.com/us-mepi-tomorrows-leaders-undergraduate-scholarship-program-2022
The Kennedy-Lugar Youth Exchange and Study (YES) Scholarship Program 2022/2023 for high school students (Fully Funded to the United States) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/the-kennedy-lugar-youth-exchange-and-study-yes-scholarship-program-2022-2023,,https://www.opportunitiesforafricans.com/the-kennedy-lugar-youth-exchange-and-study-yes-scholarship-program-2022-2023
Sciences Po Emile-Boutmy (Undergraduate & Postgraduate) Scholarships 2021/2022 for Study in France (Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/sciences-po-emile-boutmyscholarships-2021-2022,,https://www.opportunitiesforafricans.com/sciences-po-emile-boutmyscholarships-2021-2022
Seplat Joint Venture (JV) National Undergraduate Scholarship Programme 2021/2022 for young Nigerians – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/seplat-joint-venture-jv-national-undergraduate-scholarship-programme-2021-2022,,https://www.opportunitiesforafricans.com/seplat-joint-venture-jv-national-undergraduate-scholarship-programme-2021-2022
UCT Klaus-Jürgen Bathe Leadership Scholarships Programme 2022 for Undergraduate African Students (Fully Funded). – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/uct-klaus-jurgen-bathe-leadership-scholarships-2021,,https://www.opportunitiesforafricans.com/uct-klaus-jurgen-bathe-leadership-scholarships-2021
"Lester B. Pearson International Scholarship Program 2022 for study at the University of Toronto, Canada (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/lester-b-pearson-international-scholarship-program-2022,,https://www.opportunitiesforafricans.com/lester-b-pearson-international-scholarship-program-2022
The Petroleum Technology Development Fund (PTDF) Undergraduate & Postgraduate Scholarships 2021/2022 for study in Nigerian Federal Universities – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/ptdf-undergraduate-postgraduate-scholarships-2021-2022,,https://www.opportunitiesforafricans.com/ptdf-undergraduate-postgraduate-scholarships-2021-2022
NNPC/NAOC/OANDO JV Tertiary Scholarship Scheme 2021 for young Nigerian Undergraduate students. – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/nnpc-naoc-oando-jv-tertiary-scholarship-scheme-2021,,https://www.opportunitiesforafricans.com/nnpc-naoc-oando-jv-tertiary-scholarship-scheme-2021
Croatian Government Undergraduate & Graduate Scholarships 2021/2022 for young Christians from developing countries (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/croatian-government-undergraduate-graduate-scholarships-2021-2022,,https://www.opportunitiesforafricans.com/croatian-government-undergraduate-graduate-scholarships-2021-2022
Kemitraan Negara Berkembang (KNB) Indonesian Government Scholarships 2021 for Students from Developing Countries (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/knb-indonesian-government-scholarships-2021,,https://www.opportunitiesforafricans.com/knb-indonesian-government-scholarships-2021
OeAD Grants and Scholarships 2021/2022 for study in Austria (Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/oead-grants-and-scholarships-2021-2022,,https://www.opportunitiesforafricans.com/oead-grants-and-scholarships-2021-2022
U.S. Department of State Global Undergraduate Exchange Program 2021/2022 (Global UGRAD) for Study in the United States (Fully Funded) – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/u-s-department-of-state-global-undergraduate-exchange-program-2021-2022,,https://www.opportunitiesforafricans.com/u-s-department-of-state-global-undergraduate-exchange-program-2021-2022
"Islamic Development Bank (IsDB) Undergraduate, Masters & PhD Scholarship Programme 2021/2022 (Fully Funded) – Opportunities For Africans",opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/isdb-scholarship-programme-2021-2022,,https://www.opportunitiesforafricans.com/isdb-scholarship-programme-2021-2022
Edinburgh Global Undergraduate Mathematics Scholarships 2021/2022 – Opportunities For Africans,opportunitiesforafricans.com,,,,,,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2021-2022,,https://www.opportunitiesforafricans.com/edinburgh-global-undergraduate-mathematics-scholarships-2021-2022
